Company,Predicted Drawdown Solution,Groundtruth Drawdown Solution,Probability Score,Company Description,Drawdown definition,Website
Lanzatech,Landfill Methane Capture,nan,"tensor(0.5650, device='mps:0')","Recycling Carbon for a Cleaner Tomorrow LanzaTech recycles carbon emissions to make fuels and chemicals, improving air quality and promoting a circular economy.","Technologies that collect and use methane emissions from landfills, either for energy generation or direct emission reduction.",https://www.lanzatech.com
Climeworks,Landfill Methane Capture,nan,"tensor(0.5650, device='mps:0')",We stop climate change from reaching dangerous levels by removing CO2 from the air and storing it underground. Climeworks captures CO2 from air with the world’s first commercial carbon removal technology. Our direct air capture plants remove CO2 from the atmosphere to supply to customers and to unlock a negative emissions future.,"Technologies that collect and use methane emissions from landfills, either for energy generation or direct emission reduction.",https://www.climeworks.com
Frost methane labs,Landfill Methane Capture,nan,"tensor(0.5628, device='mps:0')","The Methane Mitigation Company Frost Methane exists to identify, monitor, and flare concentrated methane seeps from active and abandoned coal mines, Arctic permafrost, and other geologic sources worldwide. We earn revenue through carbon offset markets, which we re-invest into future deployments, building a global network of self-sustaining devices to combat climate change. Where practical, we also have the option to add electricity generation when we can match it with a productive on-site use.","Technologies that collect and use methane emissions from landfills, either for energy generation or direct emission reduction.",https://www.frostmethane.com
Kelda,Low-Flow Fixtures,nan,"tensor(0.4757, device='mps:0')","The world's most efficient shower British CleanTech with the greenest shower on the planet. Our water-in-air shower systems halve water usage, halve water costs and protect scarce resources.","Plumbing fixtures designed to reduce water use, such as faucets, showerheads, and toilets.",https://www.keldatechnology.com
On the level,Low-Flow Fixtures,nan,"tensor(0.3866, device='mps:0')",On The Level designs and manufactures wet room and shower room floor systems.,"Plumbing fixtures designed to reduce water use, such as faucets, showerheads, and toilets.",https://www.beonthelevel.org
Fronius,Low-Flow Fixtures,nan,"tensor(0.2875, device='mps:0')","Fronius designs welding techniques, such as whole arc and resistance spot welding systems.","Plumbing fixtures designed to reduce water use, such as faucets, showerheads, and toilets.",https://www.fronius.com
Arb,Low-Flow Fixtures,nan,"tensor(0.1841, device='mps:0')",ARB is a construction company specializing in pipeline construction services.,"Plumbing fixtures designed to reduce water use, such as faucets, showerheads, and toilets.",https://www.arbcinc.com
Pipistrel,Low-Flow Fixtures,nan,"tensor(0.1480, device='mps:0')",Welcome to the official Pipistrel Twitter page,"Plumbing fixtures designed to reduce water use, such as faucets, showerheads, and toilets.",https://www.pipistrel.si
Ocean-based climate solutions,Macroalgae Protection and Restoration,nan,"tensor(0.5344, device='mps:0')","We restore the ocean ecosystem while naturally sequestering CO2 in the deep ocean. Using endless free ocean waves as the energy source, our ""Oxygenator"" upwelling/downwelling pumps bring up nutrient-enriched water to the sunlit upper ocean, triggering blooms of phytoplankton (single-cell plants) which must absorb dissolved CO2 to metabolize the nutrients. Forming the base of the ocean food chain, phytoplankton are consumed by higher trophic species, with the carbon-rich detritus sinking by gravity with some converted into long-term “recalcitrant” CO2 by the microbial carbon pump. The downwelling pump amplifies the down-flow of high-CO2 water below 600m depth where it is isolated from the atmosphere for thousands of years. When scaled-up across the open oceans far from land, up to 1,800 gigatons can be naturally sequestered by 2100 using this technology, at a cost as low as $6.30 per ton. Funding will come from public corporations which gain strategic, financial, and marketing benefits by reaching net-negative CO2. Until now, these entities have freely emitted CO2 while providing products and services we all consume. The cost never was paid, so annual corporate earnings were overstated and accumulated on the corporation’s balance sheet. Our funding mechanism – Stock For Carbon – removes this excess valuation year-by-year as the corporation redresses its cumulative CO2 emissions and becomes cumulatively net-negative CO2. Not being paid in cash, the corporation maintains its working capital, preserving jobs, R&D, and growth. Shareholders initially are diluted but the improved sustainability results in higher stock price and ROI.","Efforts to conserve and rejuvenate marine macroalgae ecosystems, which play a role in carbon sequestration and marine biodiversity.",https://www.ocean-based.com
Aljadix,Macroalgae Protection and Restoration,Biomass,"tensor(0.4622, device='mps:0')","We are developing carbon negative biofuel from microalgae feedstock. As a start-up biofuel company, since 2014, Aljadix is a concept stage venture driven by marine biologists, biofuel chemists and climate scientists who are anxious to bring Carbon Negative Biofuel to market. Our Carbon Negative Biofuel is designed on a novel, massively scalable system which will replace fossil fuels and begin the permanent removal of excess carbon dioxide from the atmosphere.","Efforts to conserve and rejuvenate marine macroalgae ecosystems, which play a role in carbon sequestration and marine biodiversity.",https://www.aljadix.com
Algama,Macroalgae Protection and Restoration,nan,"tensor(0.3281, device='mps:0')",Algama | Microalgae Pioneer,"Efforts to conserve and rejuvenate marine macroalgae ecosystems, which play a role in carbon sequestration and marine biodiversity.",https://www.algamafoods.com
Bayou with love,Macroalgae Protection and Restoration,nan,"tensor(0.1337, device='mps:0')",http://BayouWithLove.com,"Efforts to conserve and rejuvenate marine macroalgae ecosystems, which play a role in carbon sequestration and marine biodiversity.",https://www.bayouwithlove.com
Pasturemap,Managed Grazing,nan,"tensor(0.6538, device='mps:0')",PastureMap helps ranchers and farmers make profits building healthy grasslands.,"Grazing practices optimized for land health, improving soil carbon storage and grassland ecology.",https://www.pasturemap.com
Mission barns,Managed Grazing,Unknown,"tensor(0.4544, device='mps:0')","A better way to make meat. Mission Barns is making the juicy, savory meats that people love in a sustainable, more efficient way.","Grazing practices optimized for land health, improving soil carbon storage and grassland ecology.",https://www.missionbarns.com
Mowgreen,Managed Grazing,nan,"tensor(0.3995, device='mps:0')","Zero-emission, Carbon Neutrally - charged Electric & Organic Lawn Care Services: While mowing the average lawn with gas emits over 4 metric tons of carbon emissions per year, or the emissions equivalent of an extra car driven for 10,000 miles, MowGreen cuts grass without gas. Over 1000 metric Tons of carbon emissions are avoided annually - over 8,000 acres mowed without gas, avoiding 8 MILLION auto-mile equivalent emissions since 2006. MowGreen® is a carbon neutral company, focused on sustainable lawncare services and technologies; Clean & Serene, No Gasoline(SM). MowGreen serves Fairfield & New Haven Counties in CT as well as Westchester NY. Values: Reduction, Ecology, Ethics, Life sustaining, & Respect, Effectiveness, Efficiency, Lasting value (REEL). Mission: Get the Gas off the Grass, then, More Food Growing, Less Lawn Mowing. Vision: National Network of locally managed and centrally supported eco-friendly gardening & lawncare.","Grazing practices optimized for land health, improving soil carbon storage and grassland ecology.",https://www.motogp.com/en/motoe
Browning the green space,Managed Grazing,nan,"tensor(0.3008, device='mps:0')","Browning the Green Space is a voluntary coalition of leaders and organizations, primarily in the New England region.","Grazing practices optimized for land health, improving soil carbon storage and grassland ecology.",https://www.browningthegreenspace.org
Sarona asset management,Managed Grazing,nan,"tensor(0.2383, device='mps:0')",Sarona Frontier Markets is a company that specializes in fund program services.,"Grazing practices optimized for land health, improving soil carbon storage and grassland ecology.",https://www.saronafund.com
Imicrobes,Methane Digesters,nan,"tensor(0.6125, device='mps:0')","Making greener, lower cost materials from renewable methane We Upgrade Methane to Chemicals using Synthetic Biology","Systems that process organic waste anaerobically to produce biogas, primarily methane, which can be used for energy.",https://www.imicrobes.com
Antecy,Methane Digesters,nan,"tensor(0.5714, device='mps:0')",ANTECY provides a process for production of fuels and chemicals out of ambient CO2 and renewable energy.,"Systems that process organic waste anaerobically to produce biogas, primarily methane, which can be used for energy.",https://www.antecy.com
Intellidigest,Methane Digesters,nan,"tensor(0.5314, device='mps:0')",Automated/modular onsite anaerobic food waste upcycler for maximising value from unavoidable food waste We are developing the world first automated bio-upcycler (IntelliDigest) to process all ‘inedible food waste’ to 3-D printed biodegradable product onsite.,"Systems that process organic waste anaerobically to produce biogas, primarily methane, which can be used for energy.",https://www.intellidigest.com
Syngip,Methane Digesters,nan,"tensor(0.5239, device='mps:0')","Engineered bacteria for carbon and hydrogen biochemicals and biofuels Syngip developed a process to convert gaseous carbon sources as CO2, CO, and industrial emissions into various valuable chemical compounds. Syngip is the next generation of carbon capture and use (CCU) biotechnology. We engineer bacteria able to capture carbon and hydrogen, to produce renewable biochemicals and biofuels.","Systems that process organic waste anaerobically to produce biogas, primarily methane, which can be used for energy.",https://www.syngip.com
Hago energetics,Methane Digesters,nan,"tensor(0.5137, device='mps:0')","Hago Energetics is a thermochemical capture and conversion of agricultural waste, animal waste, and carbon dioxide into useful products.","Systems that process organic waste anaerobically to produce biogas, primarily methane, which can be used for energy.",https://www.hagoenergetics.com
Bluefield technologies,Methane Leak Management,nan,"tensor(0.6757, device='mps:0')","Precise, always-on methane leak detection via microsatellites We use backpack-size satellites with proprietary optical sensors to capture methane emissions data on each of the millions of sites around the world.","Techniques and technologies to detect and repair methane leaks, reducing greenhouse gas emissions.",https://www.bluefield.co
Kairos aerospace,Methane Leak Management,nan,"tensor(0.6697, device='mps:0')","Our transformative technology identifies the largest methane leaks for oil & gas companies. Our transformative technology gives the oil and gas industry the power to retain more product and achieve its environmental goals by identifying the largest methane leaks with our actionable and efficient method. We combine patented hardware with proprietary software to produce actionable data about our customers’ operations. Combining low-cost, high-quality sensors and high-powered, high-scale computing allows us to cover basin-wide areas while identifying the most significant leaks. Kairos technology is already in widespread use across North America. Contact us to start reducing emissions now.","Techniques and technologies to detect and repair methane leaks, reducing greenhouse gas emissions.",https://www.kairosaerospace.com
Frost methane,Methane Leak Management,nan,"tensor(0.6092, device='mps:0')","Frost Methane surveys and measures concentrated methane seeps to quantify their emissions, then deploy methane destruction devices on these seeps to dramatically reduce their greenhouse warming potential.","Techniques and technologies to detect and repair methane leaks, reducing greenhouse gas emissions.",https://www.frostmethane.com
Bluefield,Methane Leak Management,nan,"tensor(0.6054, device='mps:0')",Precise and scalable methane monitoring via microsatellites,"Techniques and technologies to detect and repair methane leaks, reducing greenhouse gas emissions.",https://www.bluefield.co
Carbon mapper,Methane Leak Management,Landfill Methane Capture,"tensor(0.5160, device='mps:0')","Carbon Mapper provides locating, quantifying, and tracking methane and CO2 point-source emissions services.","Techniques and technologies to detect and repair methane leaks, reducing greenhouse gas emissions.",https://www.carbonmapper.org
Uprise energy,Micro Wind Turbines,nan,"tensor(0.6982, device='mps:0')","Worlds first commercially sized mobile wind turbines. Uprise Energy is developing a new class of portable, powerful, and affordable wind turbines for distributed power generation.","Small-scale wind turbines suitable for individual homes or businesses, converting wind energy to electricity.",https://www.upriseenergy.com
Diffuse energy,Micro Wind Turbines,nan,"tensor(0.6913, device='mps:0')",Diffuse Energy provides renewable energy by using small wind turbines. Micro wind turbine,"Small-scale wind turbines suitable for individual homes or businesses, converting wind energy to electricity.",https://www.diffuse-energy.com
Kitekraft,Micro Wind Turbines,nan,"tensor(0.6870, device='mps:0')","kiteKRAFT builds flying wind turbines. Microgrids are small, local energy networks that are typically powered by expensive diesel generation and solar. kiteKRAFT makes wind power viable for the first time.","Small-scale wind turbines suitable for individual homes or businesses, converting wind energy to electricity.",https://www.kitekraft.de
Pecos wind power,Micro Wind Turbines,nan,"tensor(0.6482, device='mps:0')","Pecos Wind Power designs, builds, and sells wind turbines for distributed generation.","Small-scale wind turbines suitable for individual homes or businesses, converting wind energy to electricity.",https://www.pecoswindpower.com
American wind,Micro Wind Turbines,Micro Wind Turbines,"tensor(0.6399, device='mps:0')","American Wind challenges the traditional wind turbine market and power generations technologies. We have developed a unique micro wind turbine with enhanced power generation capabilities, to be created at less cost and utilizing newer manufacturing technologies. We are challenging the way new technology can be used and enhancing old technologies to expand their capabilities.","Small-scale wind turbines suitable for individual homes or businesses, converting wind energy to electricity.",https://www.americanwindinc.com
Autogrid,Microgrids,nan,"tensor(0.6168, device='mps:0')","Lead into the New Energy World AutoGrid's flexibility management applications empower the energy industry to use the Energy Internet to transform the traditional centralized one-way electric grid into a modern distributed bi-directional grid that is more efficient and extends the benefits of affordable, reliable energy to millions of more people around the world.","Localized energy grids that can operate autonomously from the main grid, enhancing energy resilience and often incorporating renewable sources.",https://www.auto-grid.com
Village energy,Microgrids,nan,"tensor(0.6113, device='mps:0')",We build thriving communities by helping grid operators improve the reliability and affordability of energy to customers Helping remote communities thrive,"Localized energy grids that can operate autonomously from the main grid, enhancing energy resilience and often incorporating renewable sources.",https://www.village.energy
Scale microgrids,Microgrids,nan,"tensor(0.5933, device='mps:0')","Our future requires clean, resilient, and affordable energy. Microgrids are key to the solution, and we build them best.","Localized energy grids that can operate autonomously from the main grid, enhancing energy resilience and often incorporating renewable sources.",https://www.scalemicrogridsolutions.com
Gridcognition,Microgrids,nan,"tensor(0.5908, device='mps:0')","Creating the future distributed energy system We are currently working with a small number of customers creating the next generation of technology to plan and optimise distributed energy projects, including virtual power plants, microgrids, community batteries, and distribution-connected and behind-the-meter renewable power systems. Please complete the form below to receive updates on Gridcognition, including a notification when we launch.","Localized energy grids that can operate autonomously from the main grid, enhancing energy resilience and often incorporating renewable sources.",https://www.gridcognition.com
Centrica business solutions,Microgrids,nan,"tensor(0.5822, device='mps:0')","We help organizations around the world tackle their biggest challenges in the most responsible way by unlocking the power of distributed energy. We provide energy expertise and distributed energy solutions to organisations around the world to improve their operational efficiency, increase resilience and drive their business vision forward.","Localized energy grids that can operate autonomously from the main grid, enhancing energy resilience and often incorporating renewable sources.",https://www.centricabusinesssolutions.com
Aerial intelligence,Multistrata Agroforestry,nan,"tensor(0.4968, device='mps:0')",It provides insights and analytics for the agricultural commodities supply chain.,"Agricultural systems that integrate multiple layers of plants, from trees to shrubs to crops, promoting biodiversity and carbon sequestration.",https://www.aerialintel.com
Tesselo,Multistrata Agroforestry,nan,"tensor(0.4874, device='mps:0')",Vegetation Intelligence,"Agricultural systems that integrate multiple layers of plants, from trees to shrubs to crops, promoting biodiversity and carbon sequestration.",https://www.tesselo.com
Savanna institute,Multistrata Agroforestry,nan,"tensor(0.4782, device='mps:0')","Laying the groundwork for widespread agroforestry in the Midwest The Savanna Institute is a 501(c)(3) nonprofit organization working to lay the groundwork for widespread agroforestry in the Midwest US. We work in collaboration with farmers and scientists to develop perennial food and fodder crops within multifunctional polyculture systems grounded in ecology and inspired by the savanna biome. The Savanna Institute strategically enacts this mission via research, education, and outreach.","Agricultural systems that integrate multiple layers of plants, from trees to shrubs to crops, promoting biodiversity and carbon sequestration.",https://www.savannainstitute.org
Agrivi,Multistrata Agroforestry,nan,"tensor(0.4771, device='mps:0')",Providing solutions to feed the world through powerful farm management software An award-winning cloud farm management software used by thousands of farmers from 150+ countries worldwide.,"Agricultural systems that integrate multiple layers of plants, from trees to shrubs to crops, promoting biodiversity and carbon sequestration.",https://www.agrivi.com
Agri info design,Multistrata Agroforestry,nan,"tensor(0.4723, device='mps:0')",Agri Info Design provides technologies related to sophistication and computerization of agricultural production technology.,"Agricultural systems that integrate multiple layers of plants, from trees to shrubs to crops, promoting biodiversity and carbon sequestration.",https://www.agri-info-design.com
Iron matrix,Net Zero Buildings,nan,"tensor(0.6153, device='mps:0')","Developer of an energy efficient housing construction system designed to build advanced building and construction projects. The company's energy efficient housing construction system can be assembled, reconfigured and expanded by hand and up to two stories can be built on flat, sloped or rocky terrain, enabling construction companies to build better homes for a lower cost.","Buildings designed to produce as much energy as they consume, typically through a combination of energy efficiency and renewable energy generation.",https://www.ironmatrix.com
Blocpower,Net Zero Buildings,nan,"tensor(0.5967, device='mps:0')","Making buildings greener, healthier & smarter BlocPower uses data, thermodynamic models, structured finance, and edge computing to make city buildings greener, smarter, and healthier.","Buildings designed to produce as much energy as they consume, typically through a combination of energy efficiency and renewable energy generation.",https://www.blocpower.io
Ccm energy,Net Zero Buildings,nan,"tensor(0.5818, device='mps:0')",CCM Energy is an investment firm focused on opportunities created by the transition to the more efficient use of resources in buildings,"Buildings designed to produce as much energy as they consume, typically through a combination of energy efficiency and renewable energy generation.",https://www.ccmgroupllc.com/ccm-energy
Energy source,Net Zero Buildings,nan,"tensor(0.5685, device='mps:0')","Energy Source provides comprehensive energy solutions for commercial, industrial, hospitality, municipal, retail, and healthcare sectors.","Buildings designed to produce as much energy as they consume, typically through a combination of energy efficiency and renewable energy generation.",https://www.energysource.us.com
Enerdrape,Net Zero Buildings,nan,"tensor(0.5507, device='mps:0')",Enerdrape turns existing underground environments into renewable source of energy for the heating and cooling needs of buildings.,"Buildings designed to produce as much energy as they consume, typically through a combination of energy efficiency and renewable energy generation.",https://www.enerdrape.com
Clean energy systems,Nuclear Power,nan,"tensor(0.5468, device='mps:0')",Clean Energy Systems specializes in the development of zero emissions commercial power plants using an oxy-fuel combustion process.,"Electricity generation using nuclear reactions, which produce minimal greenhouse gas emissions.",https://www.cleanenergysystems.com
Moltex energy,Nuclear Power,nan,"tensor(0.5400, device='mps:0')","Cheap, clean, safe electricity Developing advanced nuclear to give the world safe, affordable, clean energy. Presence in UK, Canada and USA. Partnered with NB Power to deploy first reactor.","Electricity generation using nuclear reactions, which produce minimal greenhouse gas emissions.",https://www.moltexenergy.com
Breakthrough energy ventures,Nuclear Power,nan,"tensor(0.5357, device='mps:0')",Breakthrough Energy Ventures provides reliable and affordable power without contributing to climate change.,"Electricity generation using nuclear reactions, which produce minimal greenhouse gas emissions.",https://www.b-t.energy/ventures
Nuscale,Nuclear Power,nan,"tensor(0.4902, device='mps:0')","NuScale Power is commercializing a safe, modular, and scalable 60 megawatt electric (gross) light water reactor nuclear power plant","Electricity generation using nuclear reactions, which produce minimal greenhouse gas emissions.",https://www.nuscalepower.com
Generation atomic,Nuclear Power,nan,"tensor(0.4888, device='mps:0')",Generation Atomic is a nonprofit organization that supports and advocates atomic energy.,"Electricity generation using nuclear reactions, which produce minimal greenhouse gas emissions.",https://www.generationatomic.org
Ocean renewable power company,Ocean Power,nan,"tensor(0.7360, device='mps:0')",Ocean Renewable Power Company generates electricity from tidal energy.,"Generating electricity using the movement and temperature differences in the oceans, such as wave and tidal energy.",https://www.orpc.co
Wave swell energy,Ocean Power,nan,"tensor(0.7326, device='mps:0')","Sustainable electricity from the ocean Developer of a technology created to generate electricity from the ocean. The company's technology converts the energy in ocean waves into clean and emissions free electricity via oscillating wave column and at a low cost, enabling customers to transmit electricity to the shore and used to power onboard or shoreline located desalination facility.","Generating electricity using the movement and temperature differences in the oceans, such as wave and tidal energy.",https://www.waveswellenergy.com.au
Ocean power technologies,Ocean Power,nan,"tensor(0.6798, device='mps:0')",Ocean Power Technologies focuses on capturing and converting wave energy into electricity using innovative power take-off systems.,"Generating electricity using the movement and temperature differences in the oceans, such as wave and tidal energy.",https://www.oceanpowertechnologies.com
Sinn power,Ocean Power,nan,"tensor(0.6244, device='mps:0')",SINN Power's wave energy converter supplies people on coasts all over the world with cost-efficient and reliable renewable electricity from ocean waves.,"Generating electricity using the movement and temperature differences in the oceans, such as wave and tidal energy.",https://www.sinnpower.com/imprint
Wave dragon,Ocean Power,nan,"tensor(0.5918, device='mps:0')",Wave Dragon is a technology-based electricity production platform that deals electricity generation from ocean wave energy.,"Generating electricity using the movement and temperature differences in the oceans, such as wave and tidal energy.",https://www.wavedragon.net
Principle power,Offshore Wind Turbines,nan,"tensor(0.6627, device='mps:0')","Principle Power offers wind installations for the deep-water, offshore wind energy market.","Wind turbines located at sea or large lakes, harnessing wind energy for electricity.",https://www.principlepowerinc.com
Verdant power,Offshore Wind Turbines,nan,"tensor(0.5959, device='mps:0')","Verdant Power develops projects and technology that deliver clean energy from the currents of oceans, rivers and manmade channels.","Wind turbines located at sea or large lakes, harnessing wind energy for electricity.",https://www.verdantpower.com
Atlas renewable energy,Offshore Wind Turbines,nan,"tensor(0.5530, device='mps:0')","Atlas Renewable Energy develops, builds, and operates solar and wind projects.","Wind turbines located at sea or large lakes, harnessing wind energy for electricity.",https://www.atlasrenewableenergy.com
Nefino,Offshore Wind Turbines,nan,"tensor(0.4954, device='mps:0')",Location Intelligence for the Wind Industry,"Wind turbines located at sea or large lakes, harnessing wind energy for electricity.",https://www.nefino.de
Shoreline,Offshore Wind Turbines,nan,"tensor(0.4869, device='mps:0')","Enterprise resource optimisation for the wind industry Shoreline is an enterprise SaaS provider of intelligent simulation and optimization solutions for project development and field operations management for wind energy assets. Powered by state of the art simulation technology with a built-in artificial intelligence engine, Shoreline software simulates an endless number of complex supply chain, field service, workflow, and asset performance scenarios with speed and precision to find the optimal scenario. Decision-makers can use our Design solution for scenario analysis during project development and our Execution solutions for construction and maintenance work scheduling, resource management, and reporting, reducing risk and achieving safer, more cost-efficient operations and increased production. Shoreline has been deployed by several of the world's largest energy and power companies across assets in Europe, US, and Asia with an initial focus on wind and strong applications across all energy verticals requiring complex scenario planning.","Wind turbines located at sea or large lakes, harnessing wind energy for electricity.",https://www.shoreline.no
Wind harvest international,Onshore Wind Turbines,nan,"tensor(0.6295, device='mps:0')",Wind Harvest International manufactures and sells unique wind turbines for large untapped renewable resources.,"Wind turbines located on land, converting wind energy to electricity.",https://www.windharvest.com
Altaeros energies,Onshore Wind Turbines,nan,"tensor(0.6149, device='mps:0')","Altaeros Energies develops airborne wind turbine to produce abundant, low cost, renewable energy.","Wind turbines located on land, converting wind energy to electricity.",https://www.altaeros.com
Leviathan energy,Onshore Wind Turbines,nan,"tensor(0.6057, device='mps:0')",Clean Power from Wind -Hydro- Waves.,"Wind turbines located on land, converting wind energy to electricity.",https://www.leviathanenergy.com
New world wind,Onshore Wind Turbines,nan,"tensor(0.5510, device='mps:0')",New World Wind #ArbreaVent #GreenTech #WindTreeByNewWind #énergie #smartcities #villes #design #électricité #Biomimétisme,"Wind turbines located on land, converting wind energy to electricity.",https://www.newwind.fr
Semtive,Onshore Wind Turbines,nan,"tensor(0.5416, device='mps:0')","Disrupting how the energy is being generated, managed and traded Disrupting the way ENERGY is being GENERATED, MANAGED and TRADED. #WindPower #CleanEnergy #Renewables #Cleantech","Wind turbines located on land, converting wind energy to electricity.",https://www.semtive.com
Plant nutrition technologies,Perennial Biomass Production,nan,"tensor(0.5040, device='mps:0')",Plant Nutrition Technologies supplies natural micronutrient products for residential and commercial growers.,"Cultivation of perennial plants, like switchgrass, for use as bioenergy sources.",https://www.plantnutritiontech.com
Brightfarms,Perennial Biomass Production,nan,"tensor(0.5035, device='mps:0')","Grown for Locals Fresh, local produce.","Cultivation of perennial plants, like switchgrass, for use as bioenergy sources.",https://www.brightfarms.com
Plantlab,Perennial Biomass Production,nan,"tensor(0.4682, device='mps:0')",PlantLab develops innovative methods to grow plants in underground boxes and indoors.,"Cultivation of perennial plants, like switchgrass, for use as bioenergy sources.",https://www.plantlab.nl
Sprout stack,Perennial Biomass Production,nan,"tensor(0.4279, device='mps:0')","Live fresher with Sprout Stack Indoor Farms Sprout Stack is revolutionising how fresh produce is grown and distributed, by using vertical hydroponics in a highly controlled environment without compromising the environment.","Cultivation of perennial plants, like switchgrass, for use as bioenergy sources.",https://www.sproutstack.co
Marrone bio innovations,Perennial Biomass Production,nan,"tensor(0.3541, device='mps:0')","Marrone Bio Innovations is a pesticide company developing natural products for weed, pest, and plant disease management.","Cultivation of perennial plants, like switchgrass, for use as bioenergy sources.",https://www.marronebioinnovations.com
Farmshelf,Perennial Staple Crops,nan,"tensor(0.5857, device='mps:0')",Distributed Agriculture - Growing food where you live work and eat.,"Food crops that grow and produce yields for multiple years, reducing the need for annual replanting and tilling.",https://www.farmshelf.com
Bowery,Perennial Staple Crops,nan,"tensor(0.5481, device='mps:0')",We’re growing food for a better future.,"Food crops that grow and produce yields for multiple years, reducing the need for annual replanting and tilling.",https://www.boweryfarming.com
Cropprophet,Perennial Staple Crops,nan,"tensor(0.5207, device='mps:0')",Quantifying the impact of weather on crops CropProphet provides weather/climate driven yield and production forecasts for grain crops.,"Food crops that grow and produce yields for multiple years, reducing the need for annual replanting and tilling.",https://www.cropprophet.com
Beehero,Perennial Staple Crops,nan,"tensor(0.5063, device='mps:0')",Pollinate and Prosper We increase crop yields by empowering bees. Become a BeeHero --,"Food crops that grow and produce yields for multiple years, reducing the need for annual replanting and tilling.",https://www.beehero.io
Agricool,Perennial Staple Crops,nan,"tensor(0.4653, device='mps:0')",Agricool grows and produces fruits and vegetables inside shipping containers. French company producing fruits and vegetables indoors using renewable energy and aeroponic systems.,"Food crops that grow and produce yields for multiple years, reducing the need for annual replanting and tilling.",https://www.agricool.co
Foodsteps,Plant-Rich Diets,nan,"tensor(0.6033, device='mps:0')","Environmental impact assessments and carbon footprint labelling for food. At Foodsteps, our mission is to pave the way to climate-smart eating. By enabling food businesses to track their environmental impacts, Foodsteps helps to facilitate the much-needed transition to sustainable food systems. Not only does this transform the environmental outlook of food providers, but it also empowers their consumers to make the sustainable choice.","Dietary choices emphasizing plant-based foods, which have a lower carbon footprint compared to animal-based foods.",https://www.foodsteps.org.uk
Good food institute,Plant-Rich Diets,nan,"tensor(0.5979, device='mps:0')","We work with scientists, investors, and entrepreneurs to make groundbreaking good food a reality. We focus on clean meat and plant-based alternatives to animal products—foods that are more delicious, safer to eat, and better for the planet than their outdated counterparts.","Dietary choices emphasizing plant-based foods, which have a lower carbon footprint compared to animal-based foods.",https://www.gfi.org
Knoweatall,Plant-Rich Diets,nan,"tensor(0.5780, device='mps:0')",Know Eat All uses carbon emissions data & dynamic seasonality to suggest the most sustainable food and recipe options.,"Dietary choices emphasizing plant-based foods, which have a lower carbon footprint compared to animal-based foods.",https://www.knoweatall.co
V2food,Plant-Rich Diets,nan,"tensor(0.5314, device='mps:0')",v2food makes tasty plant-based meat that's good for the environment and good for you. Plant based meat alternatives,"Dietary choices emphasizing plant-based foods, which have a lower carbon footprint compared to animal-based foods.",https://www.v2food.com
Apeel sciences,Plant-Rich Diets,Reduced Food Waste,"tensor(0.4880, device='mps:0')",Working with nature to improve access to quality produce and fight food waste. Apeel Sciences develops plant-derived shelf life extension technology for fresh produce that improves quality and reduces food waste.,"Dietary choices emphasizing plant-based foods, which have a lower carbon footprint compared to animal-based foods.",https://www.apeelsciences.com
Urban sharing,Public Transit,nan,"tensor(0.5499, device='mps:0')",Urban Sharing powers shared micromobility with fleet management software. 🛴🚲🛵 Urban Sharing is a platform for shared micromobility.,"Shared transportation systems, like buses and trains, that reduce the need for individual vehicle use.",https://www.urbansharing.com
Magic bus,Public Transit,Ridesharing,"tensor(0.5361, device='mps:0')",Magic Bus makes vanpooling easy for everyone. In the process they help companies and employees take cars off the road and save time that would otherwise be wasted behind the wheel.,"Shared transportation systems, like buses and trains, that reduce the need for individual vehicle use.",https://www.magicbus.io
Magicbus,Public Transit,nan,"tensor(0.5174, device='mps:0')",We make vanpooling easy for everyone Magic Bus makes vanpooling easy for everyone. In the process they help companies and employees take cars off the road and save time that would otherwise be wasted behind the wheel.,"Shared transportation systems, like buses and trains, that reduce the need for individual vehicle use.",https://www.magicbus.io
Einride,Public Transit,nan,"tensor(0.4726, device='mps:0')","Autonomous and all-electric transportation. Autonomous, all-electric transport","Shared transportation systems, like buses and trains, that reduce the need for individual vehicle use.",https://www.einride.tech
Viriciti,Public Transit,nan,"tensor(0.4633, device='mps:0')",World's #1 fleet management solution for public transport operations On a mission to accelerate the adoption of commercial #electric #transportation on a global scale. #electricbus #electrictruck,"Shared transportation systems, like buses and trains, that reduce the need for individual vehicle use.",https://www.viriciti.com
Catalytic innovations,Recycled Metals,nan,"tensor(0.5001, device='mps:0')",Catalytic Innovations is a recycling company that extracts and purifies zinc from secondary materials to produce micronutrient fertilizers.,Metals that have been processed and repurposed from post-consumer or post-industrial waste.,https://www.catalytic-innovation.com
